baseline,N,Nd,matched_S,server_ms_median,server_ms_p25,server_ms_p75,client_ms_median,downlink_bytes,reps,extrapolated,leakage,note
plaintext-scan,11580,100000,35,4.90001e-05,4.00003e-05,4.99999e-05,0,8,11,no,"everything: query, matched set, |S|, result",index lookup + sum over the posting list
sse-single-server,11580,100000,35,3.99998e-05,3.99998e-05,4.00003e-05,0.00017,560,11,no,"search pattern, access pattern, |S| (downlink grows with |S|)",PRF token -> hash table -> AES-CTR posting list
path-oram,11580,100000,35,0.059148,0.050472,0.067104,0,373248,25,yes,hides the access pattern from one server; reveals |S| through the number of accesses,"Z=4, 17 levels, 0.001643 ms per access x (|S|+1)"
dory-style-search,11580,100000,35,130.362,128.747,148.558,0,800000,3,no,"hides query and access pattern from n-1 colluding servers; no analytics, and the client learns S","DPF full-domain eval + Theta(N*Nd) contraction, no HE"
