deployment,n_providers,N,template,query_index,end_to_end_ms,provider_compute_ms_max,transport_ms,client_combine_decrypt_ms,uplink_bytes_total,downlink_bytes_total,mac_ok,he_params,provider_list,rtt_ms_max
"single-host loopback, n=4",4,11580,sum,22,52.351,35.4156,15.2911,1.64424,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,23,52.1853,34.9569,15.6093,1.61904,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,24,55.9314,41.8838,12.4077,1.63998,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,25,52.2803,35.4098,15.276,1.59445,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,26,52.2223,35.6099,14.9893,1.62307,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,27,52.4126,35.1884,15.6124,1.61191,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,28,53.4185,37.8403,13.9218,1.65645,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,29,52.3409,35.1342,15.5776,1.62909,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,30,52.7904,35.3017,15.9068,1.58182,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,31,53.2383,35.3337,16.2884,1.61618,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,32,54.479,36.6517,16.2292,1.59807,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,33,53.5637,35.6914,16.2738,1.59856,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,34,52.858,35.1534,16.0972,1.60738,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,35,52.4834,35.933,14.9436,1.60673,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,36,52.428,35.4744,15.3404,1.61323,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,37,52.5001,35.5952,15.2827,1.62228,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,38,53.1423,35.5306,15.9999,1.61175,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,39,56.9081,39.2928,16.02,1.5953,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,40,52.532,35.7912,15.0992,1.64154,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,41,52.0683,35.0043,15.4551,1.60886,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,42,61.6564,43.7691,16.2761,1.61126,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,43,52.5535,34.7298,16.2207,1.60297,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,44,52.0712,35.434,15.0568,1.58038,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,45,52.407,36.6373,14.159,1.61073,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,46,52.3045,35.4838,15.1806,1.64009,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,47,53.5023,37.2782,14.6125,1.61163,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,48,53.9205,36.0199,16.2546,1.6459,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,49,51.1535,35.8868,13.6142,1.65247,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,50,53.9062,35.9861,16.2748,1.64519,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,51,53.6764,35.6735,16.3062,1.69674,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,52,53.4551,35.6136,16.2457,1.59574,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
"single-host loopback, n=4",4,11580,sum,53,53.9091,36.0654,16.2393,1.60444,92808,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03234
