deployment,n_providers,N,template,query_index,end_to_end_ms,provider_compute_ms_max,transport_ms,client_combine_decrypt_ms,uplink_bytes_total,downlink_bytes_total,mac_ok,he_params,provider_list,rtt_ms_max
"single-host loopback, n=4",4,35162,sum,0,53.4663,36.7172,13.8849,2.86423,281464,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03172
"single-host loopback, n=4",4,35162,sum,1,72.9811,58.8306,12.4887,1.66188,281464,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03172
"single-host loopback, n=4",4,35162,sum,2,68.7292,54.5197,12.6107,1.59879,281464,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03172
"single-host loopback, n=4",4,35162,sum,3,69.0939,53.8323,13.6074,1.65419,281464,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03172
"single-host loopback, n=4",4,35162,sum,4,55.9995,38.2939,16.0391,1.66653,281464,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03172
"single-host loopback, n=4",4,35162,sum,5,55.8859,38.381,15.9031,1.60173,281464,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03172
"single-host loopback, n=4",4,35162,sum,6,55.8191,38.8551,15.3345,1.62944,281464,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03172
"single-host loopback, n=4",4,35162,sum,7,66.0482,55.8882,8.55916,1.60075,281464,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03172
"single-host loopback, n=4",4,35162,sum,8,55.4268,41.4762,12.3691,1.58148,281464,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03172
"single-host loopback, n=4",4,35162,sum,9,69.4606,54.9864,12.9048,1.56934,281464,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03172
"single-host loopback, n=4",4,35162,sum,10,55.4329,38.3611,15.44,1.63185,281464,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03172
"single-host loopback, n=4",4,35162,sum,11,55.7341,38.1482,16.0041,1.58185,281464,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03172
"single-host loopback, n=4",4,35162,sum,12,69.1725,54.7988,12.8121,1.56157,281464,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03172
"single-host loopback, n=4",4,35162,sum,13,56.9127,39.1422,16.203,1.56743,281464,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03172
"single-host loopback, n=4",4,35162,sum,14,69.2872,54.9066,12.775,1.60563,281464,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03172
"single-host loopback, n=4",4,35162,sum,15,55.9744,38.3537,16.0125,1.60827,281464,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03172
"single-host loopback, n=4",4,35162,sum,16,68.7461,54.6191,12.4795,1.64748,281464,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03172
"single-host loopback, n=4",4,35162,sum,17,55.9812,38.5623,15.8621,1.55687,281464,2105400,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403,127.0.0.1:9404",0.03172
