deployment,n_providers,N,template,query_index,end_to_end_ms,provider_compute_ms_max,transport_ms,client_combine_decrypt_ms,uplink_bytes_total,downlink_bytes_total,mac_ok,he_params,provider_list,rtt_ms_max
"single-host loopback, n=2",2,35162,sum,0,52.0345,40.313,8.9716,2.74995,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,1,48.681,38.5078,8.64785,1.52534,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,2,48.4001,38.5237,8.46194,1.41451,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,3,48.27,38.7262,8.07629,1.46754,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,4,48.9473,39.0414,8.49167,1.41423,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,5,48.4862,38.7961,8.18808,1.50204,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,6,47.9674,38.6703,7.88878,1.40829,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,7,47.8848,38.8219,7.62958,1.43331,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,8,47.7364,38.8207,7.5054,1.41029,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,9,47.5594,38.5612,7.58783,1.41046,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,10,47.4611,38.4049,7.64665,1.40948,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,11,47.8831,39.1691,7.26111,1.45285,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,12,47.5694,38.4758,7.69616,1.3975,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,13,47.7189,38.7794,7.51634,1.4232,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,14,47.4412,38.4641,7.57237,1.40471,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,15,47.8269,38.8257,7.58725,1.41396,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,16,47.7819,38.717,7.68424,1.38073,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,17,48.2222,38.6954,8.13282,1.39398,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,18,48.2152,38.6541,8.16024,1.40091,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,19,48.1017,38.8077,7.87646,1.41757,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,20,48.1544,38.6609,8.01883,1.47466,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,21,48.0839,38.948,7.70277,1.43311,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,22,48.0743,38.7419,7.92631,1.40614,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,23,48.0064,38.8442,7.75431,1.40793,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,24,48.1651,38.461,8.28876,1.41535,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,25,48.08,38.9235,7.71677,1.43976,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,26,48.3365,38.5138,8.40441,1.41824,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,27,54.8651,44.6979,8.74099,1.4262,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,28,48.9113,38.9501,8.52548,1.43567,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,29,48.4359,38.7858,8.2328,1.41723,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,30,48.0309,38.5459,8.09022,1.39479,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,31,48.1697,39.0973,7.66552,1.40684,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,32,48.1539,38.5441,8.19654,1.41334,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,33,48.4112,38.9459,7.98268,1.48265,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,34,48.1537,38.4449,8.31369,1.39512,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,35,48.1751,39.0506,7.69592,1.42861,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,36,48.452,38.5951,8.45333,1.40353,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,37,48.1282,38.8928,7.7638,1.47164,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,38,48.2915,38.5186,8.35557,1.41735,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,39,48.3132,38.9829,7.90308,1.42727,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,40,48.2603,38.6235,8.23179,1.40501,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,41,48.1618,38.8793,7.86774,1.41475,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
"single-host loopback, n=2",2,35162,sum,42,48.3736,38.5078,8.42859,1.43722,636,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.032973
