N,n_parties,threads,construction,eval_ms_median,eval_ms_p25,eval_ms_p75,eval_ms_min,eval_ms_max,reps,key_bytes_party0,key_bytes_max,uplink_bytes_total,evals_per_sec,cpu,aes,p
10000,2,1,bgi16-tree,0.23171,0.224115,0.242711,0.222903,0.259212,11,266,266,532,4.31574e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,2,2,bgi16-tree,0.195471,0.180924,0.214708,0.180201,0.230326,11,266,266,532,5.11585e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,2,4,bgi16-tree,0.148574,0.141739,0.165723,0.141148,0.171476,11,266,266,532,6.73065e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,2,8,bgi16-tree,0.130678,0.125828,0.132621,0.124577,0.137531,11,266,266,532,7.6524e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,2,16,bgi16-tree,0.127983,0.124966,0.134155,0.123765,0.146909,11,266,266,532,7.81354e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,2,32,bgi16-tree,0.13705,0.124365,0.139826,0.12134,0.146598,11,266,266,532,7.29661e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,2,64,bgi16-tree,0.159912,0.15297,0.164202,0.141949,0.175513,11,266,266,532,6.25344e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,2,1,nparty-explicit,0.044334,0.043763,0.047139,0.043623,0.056037,11,32,80016,80048,2.25561e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,2,2,nparty-explicit,0.043533,0.043473,0.043613,0.043462,0.044475,11,32,80016,80048,2.29711e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,2,4,nparty-explicit,0.043443,0.043382,0.043934,0.043353,0.054805,11,32,80016,80048,2.30187e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,2,8,nparty-explicit,0.043473,0.043433,0.044223,0.043383,0.058933,11,32,80016,80048,2.30028e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,2,16,nparty-explicit,0.043412,0.043193,0.043442,0.043152,0.049283,11,32,80016,80048,2.30351e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,2,32,nparty-explicit,0.043301,0.043292,0.043782,0.043242,0.054784,11,32,80016,80048,2.30942e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,2,64,nparty-explicit,0.043272,0.043212,0.043794,0.043171,0.053953,11,32,80016,80048,2.31096e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,3,1,nparty-explicit,0.043252,0.043152,0.043492,0.043062,0.049995,11,32,80016,80080,2.31203e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,3,2,nparty-explicit,0.043252,0.043202,0.043503,0.043092,0.049974,11,32,80016,80080,2.31203e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,3,4,nparty-explicit,0.043282,0.043182,0.043332,0.043111,0.048812,11,32,80016,80080,2.31043e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,3,8,nparty-explicit,0.040487,0.040377,0.04178,0.040216,0.062288,11,32,80016,80080,2.46993e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,3,16,nparty-explicit,0.040488,0.040286,0.040797,0.040206,0.047962,11,32,80016,80080,2.46987e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,3,32,nparty-explicit,0.040447,0.040347,0.040998,0.040116,0.058271,11,32,80016,80080,2.47237e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,3,64,nparty-explicit,0.040697,0.040506,0.041769,0.040266,0.050948,11,32,80016,80080,2.45718e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,4,1,nparty-explicit,0.040565,0.040207,0.040817,0.040026,0.048312,11,32,80016,80112,2.46518e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,4,2,nparty-explicit,0.040548,0.040266,0.040787,0.040206,0.055114,11,32,80016,80112,2.46621e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,4,4,nparty-explicit,0.040596,0.040346,0.041599,0.039745,0.049223,11,32,80016,80112,2.4633e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,4,8,nparty-explicit,0.040517,0.040385,0.040948,0.039785,0.050155,11,32,80016,80112,2.4681e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,4,16,nparty-explicit,0.040537,0.040437,0.040697,0.040136,0.049904,11,32,80016,80112,2.46688e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,4,32,nparty-explicit,0.040578,0.040387,0.041459,0.039766,0.046057,11,32,80016,80112,2.46439e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
10000,4,64,nparty-explicit,0.040557,0.040396,0.04176,0.040276,0.050235,11,32,80016,80112,2.46567e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,2,1,bgi16-tree,0.275473,0.268148,0.293347,0.260835,0.299028,11,266,266,532,4.20368e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,2,2,bgi16-tree,0.247781,0.228072,0.260835,0.208416,0.267609,11,266,266,532,4.67348e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,2,4,bgi16-tree,0.165094,0.162117,0.170593,0.162007,0.180071,11,266,266,532,7.01419e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,2,8,bgi16-tree,0.144455,0.14282,0.153841,0.140787,0.162219,11,266,266,532,8.01634e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,2,16,bgi16-tree,0.140457,0.138263,0.144534,0.137471,0.151788,11,266,266,532,8.24452e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,2,32,bgi16-tree,0.146548,0.136379,0.149304,0.134976,0.170274,11,266,266,532,7.90185e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,2,64,bgi16-tree,0.172487,0.163371,0.183749,0.157087,0.208807,11,266,266,532,6.71355e+07,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,2,1,nparty-explicit,0.048853,0.048672,0.049504,0.048652,0.054252,11,32,92656,92688,2.37038e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,2,2,nparty-explicit,0.048604,0.048572,0.048652,0.048543,0.050486,11,32,92656,92688,2.38252e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,2,4,nparty-explicit,0.048674,0.048612,0.049103,0.048482,0.062337,11,32,92656,92688,2.37909e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,2,8,nparty-explicit,0.048702,0.048612,0.048993,0.048591,0.059153,11,32,92656,92688,2.37773e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,2,16,nparty-explicit,0.048843,0.048823,0.048944,0.048803,0.055635,11,32,92656,92688,2.37086e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,2,32,nparty-explicit,0.048874,0.048803,0.049093,0.048783,0.059914,11,32,92656,92688,2.36936e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,2,64,nparty-explicit,0.048873,0.048793,0.049254,0.048763,0.059412,11,32,92656,92688,2.36941e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,3,1,nparty-explicit,0.048883,0.048843,0.048973,0.048783,0.059744,11,32,92656,92720,2.36892e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,3,2,nparty-explicit,0.048903,0.048842,0.049162,0.048793,0.059744,11,32,92656,92720,2.36795e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,3,4,nparty-explicit,0.048943,0.048802,0.049043,0.048752,0.054242,11,32,92656,92720,2.36602e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,3,8,nparty-explicit,0.045406,0.044915,0.046728,0.044776,0.051187,11,32,92656,92720,2.55032e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,3,16,nparty-explicit,0.046047,0.045557,0.046448,0.044805,0.059795,11,32,92656,92720,2.51482e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,3,32,nparty-explicit,0.045566,0.045417,0.046788,0.045276,0.060164,11,32,92656,92720,2.54137e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,3,64,nparty-explicit,0.045496,0.045376,0.0467,0.044755,0.056147,11,32,92656,92720,2.54528e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,4,1,nparty-explicit,0.045557,0.045446,0.046859,0.045356,0.056558,11,32,92656,92752,2.54187e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,4,2,nparty-explicit,0.045477,0.045066,0.045707,0.044825,0.056377,11,32,92656,92752,2.54634e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,4,4,nparty-explicit,0.045557,0.045426,0.046648,0.044824,0.058251,11,32,92656,92752,2.54187e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,4,8,nparty-explicit,0.045547,0.045407,0.046879,0.044805,0.056537,11,32,92656,92752,2.54243e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,4,16,nparty-explicit,0.045667,0.045377,0.0473,0.044805,0.055495,11,32,92656,92752,2.53575e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,4,32,nparty-explicit,0.045546,0.045355,0.045997,0.044795,0.050295,11,32,92656,92752,2.54248e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
11580,4,64,nparty-explicit,0.046358,0.045435,0.047681,0.044755,0.060945,11,32,92656,92752,2.49795e+08,AMD EPYC 7J13 64-Core Processor,x86-64 AES-NI,68724326401
