deployment,n_providers,N,template,query_index,end_to_end_ms,provider_compute_ms_max,transport_ms,client_combine_decrypt_ms,uplink_bytes_total,downlink_bytes_total,mac_ok,he_params,provider_list,rtt_ms_max
"single-host loopback, n=2",2,11580,sum,31,41.3042,34.9824,4.9435,1.37835,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,32,44.3492,34.4077,8.54847,1.39307,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,33,41.3629,34.9672,4.9801,1.41561,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,34,44.3923,34.7881,8.21665,1.38755,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,35,41.1239,31.8215,7.90855,1.39391,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,36,43.1037,34.7089,6.99844,1.3963,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,37,41.7001,31.8533,8.33506,1.51178,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,38,40.5909,34.512,4.70992,1.36893,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,39,44.0136,34.1313,8.49114,1.39112,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,40,41.0959,34.4143,5.29348,1.38816,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,41,50.5576,40.188,9.00137,1.36824,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,42,41.2744,34.6705,5.22471,1.37915,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,43,45.4001,35.5401,8.47176,1.38821,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,44,41.1468,34.3357,5.46141,1.34962,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,45,44.5625,34.565,8.59811,1.39932,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,46,41.1025,34.4762,5.25563,1.37072,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
"single-host loopback, n=2",2,11580,sum,47,44.8266,34.3142,9.04062,1.47176,564,1052700,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402",0.053392
