N,n_parties,threads,construction,eval_ms_median,eval_ms_p25,eval_ms_p75,eval_ms_min,eval_ms_max,reps,key_bytes_party0,key_bytes_max,uplink_bytes_total,evals_per_sec,cpu,aes,p
11580,3,2,nparty-explicit,0.054374,0.054079,0.058141,0.054054,0.060808,11,32,92656,92720,2.12969e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
11580,3,4,nparty-explicit,0.054153,0.05406,0.054336,0.054045,0.067436,11,32,92656,92720,2.13839e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
11580,4,1,nparty-explicit,0.054389,0.05419,0.059345,0.054129,0.098398,11,32,92656,92752,2.12911e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
11580,4,2,nparty-explicit,0.054592,0.054064,0.058347,0.054011,0.070608,11,32,92656,92752,2.12119e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
11580,4,4,nparty-explicit,0.058194,0.054838,0.058321,0.054092,0.065394,11,32,92656,92752,1.9899e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
100000,2,1,bgi16-tree,3.46014,3.35417,3.4787,3.30783,6.04269,11,317,317,634,2.89006e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
100000,2,2,bgi16-tree,2.67318,2.62856,2.91237,2.56469,3.02769,11,317,317,634,3.74086e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
100000,2,4,bgi16-tree,1.99384,1.96293,2.07195,1.88081,3.71047,11,317,317,634,5.01546e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
100000,2,1,nparty-explicit,0.409997,0.399612,0.425498,0.39786,0.480414,11,32,800016,800048,2.43904e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
100000,2,2,nparty-explicit,0.272906,0.262398,0.280463,0.261952,0.321251,11,32,800016,800048,3.66427e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
100000,2,4,nparty-explicit,0.268139,0.262862,0.299115,0.261166,0.351209,11,32,800016,800048,3.72941e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
100000,3,1,nparty-explicit,0.412963,0.400689,0.418628,0.392239,0.457,11,32,800016,800080,2.42152e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
100000,3,2,nparty-explicit,0.270432,0.26402,0.282588,0.26144,0.305477,11,32,800016,800080,3.69779e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
100000,3,4,nparty-explicit,0.269517,0.262385,0.281696,0.261758,0.287054,11,32,800016,800080,3.71034e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
100000,4,1,nparty-explicit,0.422704,0.40437,0.436098,0.392287,0.446649,11,32,800016,800112,2.36572e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
100000,4,2,nparty-explicit,0.271534,0.262195,0.279557,0.261233,0.294159,11,32,800016,800112,3.68278e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
100000,4,4,nparty-explicit,0.268357,0.262245,0.277734,0.261954,0.360179,11,32,800016,800112,3.72638e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
1000000,2,1,bgi16-tree,40.6325,39.3168,41.4828,39.2749,45.3182,11,368,368,736,2.46109e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
1000000,2,2,bgi16-tree,29.1806,28.5659,30.1167,27.9352,30.5568,11,368,368,736,3.42693e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
1000000,2,4,bgi16-tree,20.4682,20.1364,20.886,19.3062,22.7843,11,368,368,736,4.88563e+07,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
1000000,2,1,nparty-explicit,4.24167,4.2081,4.43185,4.18303,4.62705,11,32,8000016,8000048,2.35756e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
1000000,2,2,nparty-explicit,2.25509,2.23445,2.31992,2.20059,2.3547,11,32,8000016,8000048,4.43442e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
1000000,2,4,nparty-explicit,1.11836,1.11001,1.15362,1.088,1.32059,11,32,8000016,8000048,8.94167e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
1000000,3,1,nparty-explicit,4.16262,4.12022,4.2866,4.10364,4.33066,11,32,8000016,8000080,2.40233e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
1000000,3,2,nparty-explicit,2.20538,2.17242,2.26086,2.13673,2.38283,11,32,8000016,8000080,4.53437e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
1000000,3,4,nparty-explicit,1.18443,1.13945,1.36427,1.12905,3.21512,11,32,8000016,8000080,8.44288e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
1000000,4,1,nparty-explicit,4.24739,4.13015,4.32237,4.08731,4.34599,11,32,8000016,8000112,2.35438e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
1000000,4,2,nparty-explicit,2.16632,2.14771,2.18736,2.11864,2.20533,11,32,8000016,8000112,4.61613e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
1000000,4,4,nparty-explicit,1.13972,1.11701,1.16234,1.0766,1.1985,11,32,8000016,8000112,8.7741e+08,Intel(R) Xeon(R) Processor @ 2.10GHz,x86-64 AES-NI,68724326401
