deployment,n_providers,N,template,query_index,end_to_end_ms,provider_compute_ms_max,transport_ms,client_combine_decrypt_ms,uplink_bytes_total,downlink_bytes_total,mac_ok,he_params,provider_list,rtt_ms_max
"single-host loopback, n=3",3,11580,sum,0,52.1756,36.4071,12.913,2.85549,92766,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.02639
"single-host loopback, n=3",3,11580,sum,1,45.7593,35.3442,8.80672,1.60837,92766,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.02639
"single-host loopback, n=3",3,11580,sum,2,45.1795,34.7942,8.83493,1.55035,92766,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.02639
"single-host loopback, n=3",3,11580,sum,3,49.3079,35.2319,12.5884,1.48757,92766,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.02639
"single-host loopback, n=3",3,11580,sum,4,46.0655,35.2295,9.29552,1.54044,92766,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.02639
"single-host loopback, n=3",3,11580,sum,5,45.3408,34.8701,8.92153,1.5492,92766,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.02639
"single-host loopback, n=3",3,11580,sum,6,45.3067,34.6094,9.18023,1.51703,92766,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.02639
"single-host loopback, n=3",3,11580,sum,7,64.7092,54.4226,8.76885,1.51776,92766,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.02639
"single-host loopback, n=3",3,11580,sum,8,45.1826,34.7022,8.97558,1.50482,92766,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.02639
"single-host loopback, n=3",3,11580,sum,9,45.1426,34.8204,8.80674,1.51537,92766,1579050,true,"bfv-openfhe,p=68724326401,ringdim=8192,slots=8192,sec=128","127.0.0.1:9401,127.0.0.1:9402,127.0.0.1:9403",0.02639
